,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
0,ChR2,F,m1022,1,escape,3.6499999999999773,"(-0.101173489909752, 0.4089846432814282)","(-0.0938388340837521, 0.0705730917729322)",0.33849102701618744,0.38993935252496587,1.1519931738288531,0.21077802839187346,0.6740048235332954,4.372819103191967,1.8260314110150888,3.984234428465938
1,ChR2,F,m1022,3,escape,3.1499999999999773,"(-0.0961764958514098, 0.4106357971830119)","(-0.102633149012059, 0.0789740672567324)",0.33172457169725805,0.3728052835019135,1.1238398216763603,0.19118219666764796,0.7238690567835461,4.135616681764177,1.4970414327046877,3.316496302843719
2,ChR2,F,m1023,1,escape,2.099999999999966,"(-0.0977160172603733, 0.3849847962835767)","(-0.1088628809023435, 0.0864983458348769)",0.29869451563514987,0.36032963744870083,1.2063483545470823,0.08788527742651239,0.5396009006436433,4.179497315142687,1.562272330869685,3.792491266366249
3,ChR2,F,m1023,2,escape,1.1999999999999886,"(0.0879738090341271, 0.392850120576091)","(-0.0569388995464787, 0.0637764081472377)",0.35956807605775465,0.40896254587515496,1.1373716775942768,0.1947440694643595,0.5761228439895714,4.523628097582348,2.634009986249128,3.677662648690927
4,ChR2,F,m1023,3,escape,2.550000000000068,"(0.0736886400106664, 0.3860883803096118)","(-0.1010643229972107, 0.1117181898505953)",0.325296171961106,0.4029146710910493,1.238608707449603,0.1299724745454998,0.6275791748875923,4.089105222695828,1.9003726284374745,2.386904202493456
5,ChR2,F,m1023,4,escape,2.0499999999999545,"(-0.1231525677067376, 0.406266130334846)","(-0.0983699341971491, 0.0687410755734928)",0.33843365895744626,0.3725996747643051,1.1009533623579526,0.19610509198121323,0.5341397015126969,5.107613603918362,1.4783797798731846,4.8732449467419166
6,ChR2,F,m1023,5,escape,2.3999999999999773,"(-0.1276206678623, 0.4398695544695357)","(-0.0984206952224672, 0.0709044507857992)",0.37011874599716965,0.40135883267460837,1.0844055779808506,0.22297712926367133,0.6774894561025527,5.5444737916934095,1.2046454845768662,5.304525824808504
7,ChR2,F,m1024,1,escape,2.900000000000034,"(0.047977500090499, 0.4399188438214446)","(-0.0864107300258603, 0.063750817688655)",0.3994528511332053,0.4465197553419501,1.1178284347582474,0.28807726151093555,1.1327939881734277,8.213635460752721,5.398293229062162,7.89083680721693
8,ChR2,F,m1024,2,escape,3.0,"(-0.1338228942469222, 0.2592623112099472)","(-0.1076045542453673, 0.067590605477673)",0.19345656910727185,0.25606495792782863,1.3236302034584329,0.1896777466132064,1.2383721279551132,10.88471098205814,1.961574258655252,10.87331598614016
9,ChR2,F,m1024,3,escape,2.5,"(0.0835516232910427, 0.4367902098386872)","(-0.097920507623649, 0.0798954660611656)",0.4003823078443175,0.444778098248786,1.1108834969344628,0.29651873216585733,1.1996304305892214,8.861140426745942,3.309529567124385,8.725217056905931
10,ChR2,F,m1024,4,escape,1.6999999999999318,"(-0.1265448372423135, 0.3673759905069513)","(-0.1003747866683775, 0.0755706809369633)",0.29297646704177266,0.3498076446250882,1.1939786432581034,0.17938853570517344,0.5105510980571232,5.591632398917492,2.056887207862257,4.930113749246646
11,ChR2,F,m1024,5,escape,2.699999999999932,"(-0.0517978948073763, 0.3308188271906228)","(-0.1070039183524472, 0.0845891389415062)",0.25234255370610015,0.2961799084806144,1.1737216102899988,0.21155707748615313,0.8217792344508469,5.855885718667,1.4715630839061689,5.767741749919864
12,ChR2,F,m1061,1,escape,3.3000000000000114,"(-0.0936489881220958, 0.3852878561420502)","(-0.0956547063086463, 0.0680076722915525)",0.31728652346049857,0.392048082917632,1.2356279070467393,0.29040598734639406,1.1064019289584257,9.4110859702212,3.928834980485496,9.345201610983672
13,ChR2,F,m1061,2,escape,3.849999999999966,"(0.0815350539527995, 0.4099941781728076)","(-0.0758014661782332, 0.0689510036408)",0.37558651128842774,0.42788892583662796,1.1392553059713988,0.3169547598789837,1.150967563802691,10.930183972512417,3.3955667423595792,10.389371885304175
14,ChR2,F,m1061,4,escape,3.2999999999999545,"(0.0581191372599099, 0.3462737607218086)","(-0.0760435268743517, 0.067113572627846)",0.30972573523079944,0.3634086770366487,1.1733241242154002,0.2691916126197398,1.0167407605968195,7.772964505314895,3.369851635555193,7.004504062046879
15,ChR2,F,m1061,5,escape,4.0,"(-0.0052155793618207, 0.3639511940302182)","(-0.109532519412746, 0.0568025404299066)",0.3243798997935485,0.36895655548885115,1.137421140223773,0.2635403967777508,1.0686773396079503,7.499592793204096,2.464670854837592,5.421539486368598
16,ChR2,M,m1018,1,panic,3.8000000000000114,"(0.0854529196280192, 0.3952839511631928)","(0.0970696401644156, 0.1032185312655669)",0.2922963525191467,0.3303734736477021,1.1302688890928296,0.18878484208440122,0.7848033710704121,3.7765814457327087,1.5653157845872123,2.343856273404227
17,ChR2,M,m1018,2,escape,5.199999999999989,"(0.117407674776147, 0.1085890169498987)","(-0.064017832885031, 0.068805749197982)",0.18573616563054393,0.24148630352115244,1.3001576871221925,0.14635533546736512,0.6317154252608295,6.385735828943565,5.249795273302565,3.795900313516787
18,ChR2,M,m1018,3,escape,3.25,"(-0.0361811681312998, 0.4895728208127072)","(-0.104421880498925, 0.0726550611950873)",0.42246563541786025,0.47815657584134763,1.1318235987843213,0.2516613557059724,0.6676307977726181,5.209960874236776,1.7124667763201011,5.02673695920714
19,ChR2,M,m1018,4,panic,4.800000000000068,"(0.1182029805364359, 0.3749904215499188)","(0.1043959651673635, 0.1067375415822306)",0.2686079695101408,0.3101365296272845,1.1546065821981348,0.16764136736609972,0.6649922661992403,3.354209830790717,0.5718032389992189,3.3051118959640524
20,ChR2,M,m1018,5,escape,3.0,"(-0.1152508272708737, 0.3987893469736487)","(-0.1079355438160963, 0.0829241992582498)",0.3159498455661824,0.36472746090554703,1.1543840455182217,0.22104694600336183,0.7352290396645015,5.726283083740687,1.9905884364549653,5.40935451101896
21,ChR2,M,m1019,1,escape,3.3500000000000227,"(0.0531967256012286, 0.4095256922265233)","(-0.0699725271747579, 0.059102192377953)",0.371439489117024,0.4383109489576311,1.180033253867466,0.2656429993682613,1.198907808443752,7.961157634991833,3.2104104571335377,7.257475994178691
22,ChR2,M,m1019,2,escape,2.8000000000000114,"(-0.1064181827565537, 0.4067439653293381)","(-0.1084196283424505, 0.0744953201655383)",0.332254673402217,0.3937334768623798,1.1850351804855985,0.26248898457491987,1.1663500253295016,7.856539320421282,3.240894179701792,5.18409865411269
23,ChR2,M,m1019,3,panic,3.2000000000000455,"(0.1023113268412178, 0.418636128222176)","(0.0559095041171312, 0.067855370689833)",0.3538365003883601,0.396419439383921,1.1203463716965976,0.24025420568722483,1.0658920314321585,7.283016241107907,2.2491650685183,3.995153751815773
24,ChR2,M,m1019,4,panic,1.9499999999999318,"(0.0897017109117953, 0.4366220547243568)","(0.1174458167705332, 0.0254015569944818)",0.4121553507636495,0.48779118854106435,1.1835129342304431,0.2217232675186656,0.6763597105549817,3.5595749285938894,2.489503974716667,3.08895236699002
