,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
0,ChR2,F,m1022,1,escape,3.6499999999999773,"(-0.041986224230115, 0.4965971073771114)","(-0.0975826579112986, 0.1204405111348798)",0.3802430122100964,0.39043577755127074,1.026805924142907,0.33615845441795944,0.6740048235332954,2.879084258899923,1.8260314110150888,1.166230074405028
1,ChR2,F,m1022,3,escape,3.1499999999999773,"(-0.0510474110114655, 0.4929176320878858)","(-0.113613829671265, 0.1132367021254847)",0.38480146221269357,0.40299281479603954,1.0472746451604982,0.3462446617701125,0.7238690567835461,4.135616681764177,1.537066605486731,1.7654045236690452
2,ChR2,F,m1023,1,escape,2.099999999999966,"(-0.026407578655031, 0.4085908356307534)","(-0.117106271878498, 0.1151629554848014)",0.3071256645078554,0.37847749489711335,1.2323212894096416,0.10607201647163605,0.5396009006436433,3.429442958449518,1.129691446356773,2.737497659232324
3,ChR2,F,m1023,2,escape,1.1999999999999886,"(0.0557372777017189, 0.4586661652295347)","(-0.0423794659820109, 0.1026088753822368)",0.36932870054262157,0.4053855954372319,1.097628196350934,0.29318857982365365,0.5761228439895714,3.505997604218548,0.8930914902667009,3.222735726473669
4,ChR2,F,m1023,3,escape,2.550000000000068,"(0.0682198537595515, 0.4950225668057064)","(-0.0663511602151146, 0.1004870044087518)",0.41685449235680666,0.6022536467491059,1.444757482027102,0.15264821601909767,0.6275791748875923,4.089105222695828,1.9003726284374745,2.386904202493456
5,ChR2,F,m1023,4,escape,2.0499999999999545,"(-0.071967248405377, 0.4690713507424452)","(-0.1132830102217771, 0.1247299821182922)",0.34681114503490845,0.357419947079018,1.0305895649433114,0.2881702359021406,0.5341397015126969,2.0038816894066103,1.1915059328711286,0.6073915974351696
6,ChR2,F,m1023,5,escape,2.3999999999999773,"(-0.0779048394100817, 0.4977976117008444)","(-0.1036829697512177, 0.1150860903059844)",0.38357870197946725,0.39552097277968806,1.031133821399865,0.33676769099901016,0.666435019641682,3.503571819119693,1.0478972122068608,2.2216361957462016
7,ChR2,F,m1024,1,escape,2.900000000000034,"(-0.0107768127590866, 0.4841961716776679)","(-0.0642541894696613, 0.1199015065836502)",0.36819890390359283,0.3964311544470732,1.076676628431443,0.40536006977468936,1.1327939881734277,6.464741138544896,5.398293229062162,3.556867751471282
8,ChR2,F,m1024,2,escape,3.0,"(-0.0901132553673356, 0.4258703893228721)","(-0.1264429920916583, 0.1561342915212512)",0.2721716594866265,0.28991025472798204,1.06517429211702,0.4888313798165672,1.053022427457479,8.199189604156818,2.5736280554682467,2.5774914682706207
9,ChR2,F,m1024,3,escape,2.5,"(0.0506038414400384, 0.4717279595060544)","(-0.0853182456559602, 0.1250281924616096)",0.37239165166421834,0.39333603506455683,1.0562428918767057,0.42554342639417964,1.1996304305892214,7.509281099772806,3.309529567124385,1.2042597787483955
10,ChR2,F,m1024,4,escape,1.6999999999999318,"(-0.0743233667648525, 0.4744391897698633)","(-0.1201615645026284, 0.109525636121022)",0.367781242056298,0.38393680889725373,1.04392710936161,0.31109564542095614,0.5105510980571232,3.153959113681427,1.223719211282415,1.5676046865714888
11,ChR2,F,m1024,5,escape,2.699999999999932,"(-0.0903388152844605, 0.4610807065443598)","(-0.1087541632162938, 0.1346161319358046)",0.3269835523597408,0.3390478500238638,1.0368957324521635,0.3589864418320758,0.8217792344508469,4.709787646654075,1.1664273638910538,2.174066102629713
12,ChR2,F,m1061,1,escape,3.3000000000000114,"(-0.1049442502770349, 0.498958949703035)","(-0.0994119439549034, 0.1080953533083779)",0.3909027467283996,0.41329723136502255,1.0572891462750011,0.48741645130622224,1.1064019289584257,6.873832271195223,3.928834980485496,3.715348899894588
13,ChR2,F,m1061,2,escape,3.849999999999966,"(0.0562244264666061, 0.4831486202218281)","(-0.0564518178022384, 0.1361376310988266)",0.36484594364561074,0.3821303789118461,1.0473746126749444,0.44129275823805364,1.123948361947368,7.116370119783597,1.396711497770391,1.107027185636977
14,ChR2,F,m1061,4,escape,3.2999999999999545,"(0.0572431870012991, 0.4737140406868449)","(-0.0570743107036941, 0.1365303192908711)",0.35603560532054773,0.36569685131358814,1.0271356174738258,0.4040177585800953,1.0167407605968195,5.46631435184627,2.108653505562783,1.231950080189148
15,ChR2,F,m1061,5,escape,4.0,"(0.0193216667723493, 0.4936930820858801)","(-0.115358344617481, 0.1110768920136288)",0.40562772880237113,0.41232135402037995,1.0165018926042655,0.42946597316897006,1.0686773396079503,7.499592793204096,2.464670854837592,3.049797609025995
16,ChR2,M,m1018,1,panic,3.8000000000000114,"(0.0517374830738414, 0.4926737055813281)","(0.0554738950938615, 0.1118012932680528)",0.3808907392364862,0.46329669307093596,1.2163506364046457,0.17236935124941222,0.7848033710704121,3.7765814457327087,1.5653157845872123,2.343856273404227
17,ChR2,M,m1018,2,escape,5.199999999999989,"(0.112800047090897, 0.1612266918084917)","(-0.0315339195323017, 0.1262023146204452)",0.1485227286262853,0.27992092755410974,1.884700948758154,0.1422667159085698,0.5357795483230517,4.244427641995023,2.2440707418656225,1.9887824301540349
18,ChR2,M,m1018,3,escape,3.25,"(-0.0636824131946445, 0.5025038904320929)","(-0.1053526644924321, 0.1051442405604125)",0.3995386103862369,0.4605732235912879,1.1527627408676433,0.21357966676646029,0.6676307977726181,3.7932042933126247,1.7124667763201011,2.4149200573344576
19,ChR2,M,m1018,4,panic,4.800000000000068,"(0.0855536237859679, 0.4700673373387952)","(0.0733693765738654, 0.1261362922078323)",0.3441467996146442,0.43045703563293775,1.2507948239383273,0.15934766313285825,0.6649922661992403,3.354209830790717,0.6157614817503154,3.3051118959640524
20,ChR2,M,m1018,5,escape,3.0,"(-0.0606473575953701, 0.4239392587137465)","(-0.1189311580318301, 0.1159522679438549)",0.3134533264727149,0.3250392844669667,1.0369623067160538,0.32126157466163774,0.7352290396645015,3.878690236741252,1.9905884364549653,3.5828376462378357
21,ChR2,M,m1019,1,escape,3.3500000000000227,"(0.023653022548933, 0.49975365773525)","(-0.0572425547323233, 0.1300490606162633)",0.3784515603806912,0.3914361463589792,1.0343097699616473,0.4494206880912329,1.198907808443752,7.961157634991833,3.2104104571335377,2.624625849221696
