,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
0,ChR2,F,m1022,1,escape,3.6499999999999773,"(-0.0851136232707847, 0.4709723327028938)","(-0.0938388340837521, 0.0705730917729322)",0.40049429639012357,0.444478473773129,1.109824728540354,0.19325151033614302,0.6740048235332954,4.372819103191967,1.8260314110150888,3.984234428465938
1,ChR2,F,m1022,3,escape,3.1499999999999773,"(-0.0797462820235189, 0.4751687069473955)","(-0.102633149012059, 0.0789740672567324)",0.39685513881032897,0.4267851533958923,1.075417984192635,0.17782714724828844,0.7238690567835461,4.135616681764177,1.537066605486731,3.316496302843719
2,ChR2,F,m1023,1,escape,2.099999999999966,"(-0.0649651299485645, 0.4211653457988757)","(-0.1044954516620328, 0.0790735576232769)",0.3443681719786965,0.4833152592658586,1.4034841155289977,0.10622313390458432,0.5633825145571616,5.1651642908534505,3.7424738212926014,3.001311908333093
3,ChR2,F,m1023,2,escape,1.1999999999999886,"(0.0885053568763608, 0.4566771276593391)","(-0.0569388995464787, 0.0637764081472377)",0.41895704686700236,0.46352472602670075,1.106377681179919,0.18177440236341205,0.5761228439895714,4.523628097582348,2.634009986249128,3.677662648690927
4,ChR2,F,m1023,3,escape,2.550000000000068,"(0.1036324826552104, 0.4659775920756416)","(-0.1010643229972107, 0.1117181898505953)",0.4091460696489118,0.4736662291676609,1.157694682425066,0.1334271068077918,0.6275791748875923,4.089105222695828,1.9003726284374745,2.386904202493456
5,ChR2,F,m1023,4,escape,2.0499999999999545,"(-0.1097616901090043, 0.452883724554284)","(-0.0983699341971491, 0.0687410755734928)",0.3843115232057642,0.41368583957429006,1.076433608140338,0.1760365274784213,0.5341397015126969,5.107613603918362,1.4783797798731846,4.8732449467419166
6,ChR2,F,m1023,5,escape,2.3999999999999773,"(-0.1111224466437307, 0.4774895329360658)","(-0.100698850424153, 0.0837473392043481)",0.39388014228038243,0.48445133947968244,1.2299460863270106,0.21531170643541442,0.6478660823178373,6.248485887839873,2.6795344244248565,5.920639242490644
7,ChR2,F,m1024,1,escape,2.900000000000034,"(0.035401219356976, 0.4722776873300039)","(-0.0864107300258603, 0.063750817688655)",0.42630077906497704,0.47565047241495495,1.1157626159122171,0.23782523620747748,1.1327939881734277,8.213635460752721,5.398293229062162,7.89083680721693
8,ChR2,F,m1024,2,escape,3.0,"(-0.1027028557534845, 0.4618991082746668)","(-0.1076045542453673, 0.067590605477673)",0.39433896843466054,0.43079385165305606,1.0924455510017288,0.23932991758503114,1.2383721279551132,10.88471098205814,2.5736280554682467,10.87331598614016
9,ChR2,F,m1024,3,escape,2.5,"(0.087611084027433, 0.460014380435252)","(-0.097920507623649, 0.0798954660611656)",0.42298033118044376,0.4634788240169806,1.0957455698318515,0.23768144821383622,1.1996304305892214,8.861140426745942,3.309529567124385,8.725217056905931
